comment,label
đi vạn đều_đặn 180 km phân_vân x force yariss xăng thiết_kế hầm_hố tính_năng khác_biệt xăng điện một_chút thương_hiệu bền_bỉ tiết_kiệm ghế lái_chỉnh điện đi đường trường cao_tốc nội_thành báo 5 km 1 l tkiem đi,{EXTERIOR#Positive};{BRAND#Positive};{PERFORMANCE#Positive};{FEATURES#Positive};{COST#Positive};
chạy thử ok âm_hơi ồn chốt mua vợ xong triệu lót sàn bớt ồn_tí ok,{FEATURES#Negative};{PERFORMANCE#Positive};
lái thử kiểu thiết_kế,{EXTERIOR#Positive};{INTERIOR#Positive};
đại_lý bảo_dưỡng nỗi hỏng hóc,{BRAND#Positive};
giảm_giá bán_chạy,{COST#Neutral};
trang_bị hộp at,{PERFORMANCE#Negative};
hybrid khắc_phục cơ_bản nhu_cầu chủ tút xe đi 4 l 100 km p sợ hỏng hộp_số,{COST#Positive};{PERFORMANCE#Negative};
chê tầm tiền thể_hiện kỳ_vọng,{COST#Positive};
chạy grab chuyên hà_nội nội xe báo km l,{COST#Positive};
thân vỏ mỏng mỏng cửa đi đóng phát hắn bê_bối,{EXTERIOR#Negative};
đèn xấu mạnh_mẽ đầu xe xe bé xforce_lực,{EXTERIOR#Negative};
700 tr hợp_lý base bùng_nổ doanh_số,{COST#Positive};
xét tổng_thể_trừ tôn_mõng ok tầm giá 700 trieu ảnh_hưởng vận_hành mấy ngon tôn_dầy tầm 1 ty khác_biệt,{EXTERIOR#Negative};{COST#Positive};
đẹp đấy đẹp hạng b,{EXTERIOR#Positive};{INTERIOR#Positive};
đi vạn đều_đặn 180 km phân_vân x force yariss xăng thiết_kế hầm_hố tính_năng khác_biệt xăng điện một_chút thương_hiệu bền_bỉ tiết_kiệm ghế lái_chỉnh điện đi đường trường cao_tốc nội_thành báo 5 km 1 l tkiem đi,{EXTERIOR#Positive};{FEATURES#Neutral};{BRAND#Positive};{COST#Positive};{INTERIOR#Positive};
6 l 100 km hn quảng_cáo,{COST#Negative};
xe mua bà_xã đi ké yaris thanh_gươm bé bé quý dòng toy yaris cờ rớt,{EXTERIOR#Positive};
đi 10 k km kêu bảo_dưỡng rẻ rẻ đi bảo_dưỡng sh mùi quảng_cáo thay tháo đấy rẻ sh,{COST#Negative};
quảng_cáo xe chạy,{PERFORMANCE#Negative};
tai 50 km chi 400 k noi co_xao troi,{COST#Negative};
khung gầm dnga giá tnga khen việt bọn nhật gạt bánh bánh_cha vios đi chả khen,{COST#Negative};{PERFORMANCE#Negative};{BRAND#Negative};
rẻ á_rẻ option hạng b xforce seltos creta hrv hạng option giá toàn trời,{COST#Positive};
yaris vô_lăng trễ lái thử xe đi bữa đi taxi trễ rõ_rệt,{PERFORMANCE#Negative};
suy_nghĩ phết rộng_rãi gọn lách chất_lượng kiểu_dáng thương_hiệu tương_đối giá_cả xe ưng_ý,{INTERIOR#Positive};{EXTERIOR#Positive};{BRAND#Positive};{COST#Positive};
xài yr cross kích_thước gia_đình trẻ vợ_chồng_con đẹp lanh_lẹ đi phố sức xe chạy 100 km h loa loa pioneer adas xài option cam_cảm biến quanh xe cảm_biến áp_suất lốp đầy_đủ vô_lăng chạy chậm hơi lỏng chạy siết êm ồn đi đường đẹp nhược_điểm đi đường xấu siêu_ồn đi đèo núi lẫy an_toàn xài phanh đi phố cỡ lít 100 km đi đường trường cỡ lít tiết_kiệm,{EXTERIOR#Positive};{PERFORMANCE#Positive};{FEATURES#Positive};{COST#Positive};
trải_nghiệm phân_khúc tui giá tiền trang_bị trải_nghiệm tiện_ích thẩm_mỹ yarris_cross hài_hòa ý_kiến,{COST#Positive};{FEATURES#Positive};{PERFORMANCE#Positive};{EXTERIOR#Positive};{INTERIOR#Positive};
độ an_toàn rõ_ràng toyota yarris cross nhỉnh đạp nhầm chân phanh yaris cross hiệu_quả động_cơ chút thân_vỏ thằng yaris ổn câu dainhatsu,{FEATURES#Positive};{PERFORMANCE#Neutral};{EXTERIOR#Negative};
khung tàu,{EXTERIOR#Negative};
mê chống đạp nhầm chân ga giá rẻ yaris chờ xe,{COST#Positive};{FEATURES#Positive};
yariss cross đẹp,{EXTERIOR#Positive};
hrv mặc_dù ồn đắt cân_nhắc chi_phí lâu_dài yaris cross ổn,{BRAND#Positive};{COST#Positive};
hàng nhật ưa_chuộng chi_phí công_nghệ hợp_lý việt,{BRAND#Positive};{FEATURES#Positive};{COST#Positive};
yaris thương_hiệu chi_phí bảo_dưỡng hình_thức hài_hóa,{BRAND#Positive};{COST#Positive};
clip đoạn test đạp nhầm chân ga chốt cọc yaris cross,{FEATURES#Positive};
yaris đáp thóc ga tiếng máy ta,{PERFORMANCE#Negative};
yaris cross đẹp an_toàn creta ngoại_thô đẹp giá,{EXTERIOR#Positive};{COST#Positive};
yaris cross creta mặt ca lăng_trông ngu,{EXTERIOR#Positive};
yaris cross ghi_điểm tính_năng chống đạp nhầm chân ga,{FEATURES#Positive};
yaris cross ngoại_hình đẹp logo xấu phân_khúc mặt ếch đầu máy_ủi gói an_toàn che đi mác daihatsu xe hrv g hơi ồn chút đồng_tiền bát gạo,{EXTERIOR#Negative};
toy yaris cross rẻ triệu đi lâu_dài yên_tâm lọt top bán_chạy phản_ánh thị_trường,{COST#Positive};
yaris cross việt_nam yaris daihatsu,{BRAND#Negative};
mua xe toyota yaris cross hev đk chê áp_lực khung gầm daihatsu_thân vỏ mỏng_manh nội_thất ọp_ẹp vvân mây mây nhực trưa tiếng máy hơi ồn_bật nhạc đổi tính_năng an_toàn tiết_kiệm xăng gọn,{EXTERIOR#Negative};{INTERIOR#Negative};{PERFORMANCE#Negative};{COST#Positive};
video yaris cross chễm_chệ top phân_khúc thị_trường chứng_minh xe,{BRAND#Positive};{COST#Positive};
yaris nội_thất xấu toàn nhựa camera màn_hình sơ_sài hiển_thị kém tầm_giá kia seltot,{INTERIOR#Negative};{FEATURES#Negative};
yari cross trang_bị an_toàn bền_bỉ bảo_dưỡng rẻ đẹp thương_hiệu nổi_tiếng tg,{BRAND#Positive};{FEATURES#Positive};{COST#Positive};
xe nhật_thi xe hàn cãi,{BRAND#Positive};
mạng yaris cross tiền bánh creta,{PERFORMANCE#Positive};
hành_trình quê tết trở_lại thành_phố yaris cross tổng_quãng đường 1600 km đi đường đường làng quốc_lộ cao_tốc hài_lòng xe xe chạy êm_ái tiết_kiệm nhiên_liệu,{PERFORMANCE#Positive};{COST#Positive};
thời xe hàn_option xe nhật xe nhật option clip yaris nhỉn creta creta phiên_bản yaris hãng giảm_giá,{BRAND#Positive};{COST#Positive};
toyhatsu yaris cross gian_lận trình creta cho_dù option ngập mặt đi_chăng_nữa,{FEATURES#Negative};{PERFORMANCE#Negative};
tầm triệu mua yaris cross hợp_lý gầm tiết_kiệm chi_phí rộng_rãi tính_năng an_toàn cảm_giác lái chấp_nhận đi quen ok đi,{COST#Positive};{FEATURES#Positive};{PERFORMANCE#Positive};{INTERIOR#Positive};{EXTERIOR#Positive};
creta bà_xã yaris vi_deo xong xe tham_khảo mục_đích mặc_bền yaris oke,{BRAND#Positive};{COST#Positive};{PERFORMANCE#Positive};
bảo_dưỡng hyundai 0 k kỹ bảo_dưỡng ta tư_vấn chục triệu tiền đồ đề_nổ ngon so_sánh bản_đồ đường độc_quyền free toàn ngon creta đấy đâm túi_khí bung toang,{COST#Positive};
cọc xe yaris_vi an_toàn ga đạp nhầm phanh tự_động hữu_ích vợ vô_lăng chi_phí bảo_dưỡng toyota rẻ hợp_lý,{FEATURES#Positive};{COST#Positive};
phanh sinh yếu xe đoạn kẹt xe vòng_xuyến chạy xe phanh tin_tưởng chân phán_đoán sử_lý tình_huống xe làm_việc,{FEATURES#Negative};
bảo phần_mềm màn_hình infotainment thiếu_thốn thử phân_tích so_sánh xe,{FEATURES#Negative};
trải_nghiệm nhận_xét ra_mắt anh_em xe nhận_xét treo xforce cứng đi chỗ gờ giảm_tốc ổ_gà mấp_mô cảm_giác cứng_sóc bảo treo êm ngon hơi,{PERFORMANCE#Neutral};
công_nhận đẹp chê nhan_hậu đi để_ý đèn đường,{EXTERIOR#Negative};
video đoạn nhận_xét hệ_thống treo xóc đứng đầu bảng đi đường đánh lái gấp hệ_thống treo mềm cứng yếu_tố tính_năng cua cân_bằng điện_thoại trống_trơn trượt lốp bám đg hinh phân_khúc xe hrv xe gọi treo xóc cứng mềm_mại đi lươn đoạn đường mấp_mô hố ổ_gà cảm_nhận dõ hệ_thống treo xóc hoạt_động êm_dập tắt giao_động hệ_thống treo ngon,{PERFORMANCE#Neutral};{FEATURES#Neutral};
đi yếu_lăm việt_nam tối_thiểu đi tạm thoải_mái đạp xpander 1 m cao_tốc co cơ_mông xe gia_đình mua xe đầu chuẩn_doanh_số t7 kinh đấy,{PERFORMANCE#Negative};
đợt vf9 đâm cao_tốc nhìu chê công_nghệ phanh đâm coi clip chạy bảo_vệ,{FEATURES#Negative};
xi_nhan đèn phanh bé tí_thế kiểm_định đăng_kiểm tất_nhiên độ_chế zin động_cơ xpander đi hầm_hố,{EXTERIOR#Negative};{PERFORMANCE#Positive};
chức_năng tự_cụp pha xe đom đóm đèn nguy_hiểm,{FEATURES#Negative};{PERFORMANCE#Negative};
mua confirm tiền cảm_giác lái tucson đợt lái thử luồn_lách cảm_giác xe,{COST#Positive};{PERFORMANCE#Positive};
xe thiết_kế trẻ_trung thể_thao trang_bị đầy_đủ đi đô_thị đi đường đèo cẩn_thận máy hơi yếu,{EXTERIOR#Positive};{PERFORMANCE#Negative};
xforce pre đi nửa 10 km hôm đi mỹ_đình kim_bôi hòa_bình đi đg_atk đi đi dốc cun_tải tài người_lớn trẻ_em hành_lý đi sướng trời mưa_trơn chế_độ wet đi đg_atk dốc dốc sd ds d đi ổn xăng tiết_kiệm 4 l 100 km xe xe êm ghế rộng thoải_mái hòa tự_động mit tiếng khen tóm_lại ổn đi phố hộp ctv êm_ái đi dã_ngoại đồi_núi hề yếu xe ds cực mượt hối_hận,{PERFORMANCE#Positive};{FEATURES#Positive};{COST#Positive};{INTERIOR#Positive};
tipcar ý_kiến góp_ý phân_vân xf yariss cross yac daihatsu khung gầm vỏ kém chất_lượng tính_năng công_nghệ yac hiệu_quả yac xf xf premoum đỡ 45 tr yaris cross tài_chính hạn_chế,{EXTERIOR#Negative};{FEATURES#Negative};{COST#Positive};
xe nầy đèn xi_nhan nốt rùi mặc_dù độ chú_ý xe an_toàn độ xi_nhan,{EXTERIOR#Negative};
ôi đèn xi_nhan xe bé bé đi hè nắng chói_khó,{EXTERIOR#Negative};
đi ultimate màu trắng tipcar chính_xác hợp_lí lắm tipcar treo xforce êm_ái phân_khúc đi cảm_nhận treo cứng đi đường gồ_ghề mấy lươn cảm_nhận xe treo mềm cảm_giác êm chê nhu_cầu chạy cao_tốc quê xforce,{PERFORMANCE#Negative};{EXTERIOR#Positive};{INTERIOR#Positive};{FEATURES#Positive};{COST#Positive};
giá mit trang_bị hộp_số sức_tải một_chút mit ưu_ái trang_bị turbo áp cỡ 20 psi seltos tuyệt_vời chê vác xe đi hà_giang chở tải mệt cán tỷ quản_bạ hà_giang dốc gắt mục_đích anh_em đi miền núi sức máy đầu sở_hữu xe cảm_nhận năng_lực động_cơ xe trải_nghiệm dòng yếu,{FEATURES#Negative};{PERFORMANCE#Negative};
chê đèn tối nội_thất kêu ọp_ẹp,{EXTERIOR#Negative};{INTERIOR#Negative};
đi gờ giảm_tốc xóc long_óc bù sập ổ_voi vững_vàng,{PERFORMANCE#Neutral};
chạy tốc_độ 70 km h đụng nhẹ vật cản chứng_tỏ hệ_thống an_toàn chủ_động phanh khẩn_cấp xe ngon hệ_thống phanh khẩn_cấp xe toyota corolla croos test hệ_thống phanh chủ_động toyota corolla croos hv dám thử tốc_độ 30 km h corolla_croos bền máy_móc khung gầm đâm_đụng thua xe,{FEATURES#Positive};
mits nâng tầm pr tầm mấy hãng xe tàu pr xe ngang tầm mits,{BRAND#Positive};
bô xe xforce lắc_lư chạy á_điều xe,{EXTERIOR#Negative};
corrolla cross bậc sở_hữu xe nhận_xét công_tâm,{PERFORMANCE#Negative};{BRAND#Negative};
mua xfoce utimet chạy đường_trường tầm 15 phut sộc mùi lưu_huỳnh vô_cabin xe trường_hợp hãng kêu bình_thường,{PERFORMANCE#Negative};
ok_trừ cụm màn hình_phí,{INTERIOR#Negative};
xfocre toy cross ống xả gọn_gàng lắm lộ lù_lù trông đẹp lắm,{EXTERIOR#Negative};
đi ức_chế đèn,{EXTERIOR#Negative};
sở_hữu_bản ulti ưu_điểm thế_mạnh di_chuyển xe yếu_điểm bộc_lộ xe đứng yên cảm_biến cốp_khóa mở_cửa phanh kêu đi chậm đường xấu_hơi xóc chốt fix thành vios việt_nam,{PERFORMANCE#Neutral};
hệ_thống phanh khẩn_cấp thông_minh ngon gấp vạn glc lăn bánh tỷ xe đức hệ_thống phanh xài thua xe cỏ thằng kỹ_sư đức học_hỏi nhật,{FEATURES#Positive};{BRAND#Positive};
tăng_tốc 15 s 100 km h ngang vf3 đấy đỉnh chóp,{PERFORMANCE#Negative};
misubisi loa yamaha loa bose jbl,{INTERIOR#Negative};
tăng_tốc chậm mg zs 15 s 100 km h,{PERFORMANCE#Negative};
nền_tảng khung gầm xe hạng b phổ_thông đi đường xấu liền xóc_lòi lắc ngang dữ_dội tiền mâm cx5 base mg hs for_sure đẹp_mã rộng_rãi tiết_kiệm,{EXTERIOR#Negative};{PERFORMANCE#Negative};{INTERIOR#Positive};
xe hạng b cốp điện mutsu chơi_trội mua độ đẽo,{FEATURES#Positive};
x force glx xe hửi xăng chạy đi cao_tốc 100 k xăng 100 km giá xăng 23 k lít,{COST#Positive};
100 km h mất_giây yếu hiếm_mẫu xe yếu thế_này đi đường dám xe,{PERFORMANCE#Negative};
phanh 0 km h phụ_thuộc vận_tốc xe_tải xe mặt_đường hệ_thống phanh chủ_quan số_liệu video,{PERFORMANCE#Negative};
tóm_lại tầm tiền tr phân_khúc ổn hãng giảm_giá tầm_tr top đầu,{COST#Positive};
tận ultimate chút tiền tùy ghế lái_chỉnh điện thiệt nổi chữ ultimate nghĩa_là mà_còn thua sonet premium,{FEATURES#Negative};{BRAND#Negative};
đi thử xe yếu rộng_rãi gia_đình đi phố hợp_lý,{PERFORMANCE#Negative};{INTERIOR#Positive};
chán chốt cửa tapi nhựa đèn xinhan,{EXTERIOR#Negative};
thực_dụng đi phố cao_tốc ok máy yếu đi địa_hình chán_ối dồi ôi,{PERFORMANCE#Negative};
khóa cửa tự_động hàng ghế ồn hàng ghế,{FEATURES#Negative};{PERFORMANCE#Negative};
xforce kính_lái mẫu thử bí lắm,{EXTERIOR#Negative};{INTERIOR#Negative};
xe yếu_vcc nội_thất đẹp,{INTERIOR#Positive};{PERFORMANCE#Negative};
đẹp tội bê_nguyên bàn_thờ xe xấu quá_thể,{EXTERIOR#Positive};{INTERIOR#Negative};
xe động_cơ yếu,{PERFORMANCE#Negative};
xf khen chê chủ_yếu nhan vỏ mỏng hr đắt ồn_ghế ghờ khó_chịu,{EXTERIOR#Negative};{INTERIOR#Negative};
góp_ý mitsu xi_nhan to tý ok phân_khúc,{EXTERIOR#Negative};
Bấm bấm nút kế chạy tui bãn động_cơ điện nằm cầu hộ trờ 33 kmh ngon tái_tạo tý năng_lượng offroad nhẹ_nhàng,{PERFORMANCE#Positive};{FEATURES#Positive};{COST#Positive};
tiếng hòa bật máy rú êm_tí tuyêth,{FEATURES#Negative};{PERFORMANCE#Negative};
xe chạy tốc_độ 80 km tiếng gió cánh cửa to màn_hình taplo vô_lăng xấu liền_mạch màn_hình giải_trí hơi phèn ổn,{PERFORMANCE#Negative};{INTERIOR#Negative};
xe đẹp trang_bị công_nghệ cruise_control lỗ hỏng cực yếu xe thành top phân_khúc,{FEATURES#Negative};
tầm_giá ngon hình_thức mẫu_mã ổn tài_chính hạn_hẹp glx,{COST#Positive};
chạy thử cảm_nhận hấp_dẫn ds đạp đường_nhựa sướng triton đi kk kg chê,{PERFORMANCE#Positive};
tầm tiền nhìn_lực mặt đường khá_lực,{EXTERIOR#Positive};
trung_bình cảm_giác,{PERFORMANCE#Positive};
video xong mua xe mua xe tầm tiền đấy,{COST#Positive};
giá mềm nội_thất vô_lăng,{EXTERIOR#Positive};{INTERIOR#Positive};
doanh_số dak lak chạy vf6 ban_đầu xfoce thíc xe_điện,{BRAND#Positive};
chạy cảm_nhận máy tiết_kiệm xe bật sport ức_chế cải_thiện động_cơ xíu option máy best choice,{PERFORMANCE#Neutral};{COST#Positive};
ngon máy yếu_ớt đạp ga dính_ghế máy_yếu chạy tốc_độ tua_máy hao_xăng,{PERFORMANCE#Negative};
xf động_cơ khỏe tí chê,{PERFORMANCE#Negative};
thiết_kế taplo mit huyn hơi thất_vọng,{EXTERIOR#Negative};
xe đẹp,{EXTERIOR#Positive};{INTERIOR#Positive};
hrv base phân_khúc tầm_giá hổ_trợ trước_bạ ngon,{COST#Positive};
mitsu dạo chịu_khó bơm tiền kol mấy tiền chi_phí vận_hành bảo_dưỡng chả kiểu_dáng trẻ hợp đứng_tuổi chả,{EXTERIOR#Negative};{COST#Negative};{INTERIOR#Negative};
động_cơ xpander tải khỏe máy bền,{PERFORMANCE#Positive};
đèn_hậu đầu xe kém phân_khúc xe cỏ,{EXTERIOR#Negative};
hộp at ngon bền_bỉ,{FEATURES#Negative};
máy yếu phân_khúc nha,{PERFORMANCE#Negative};
xi nhan_nhỏ,{EXTERIOR#Negative};
xe chạy hơi rung,{PERFORMANCE#Negative};
xi nhan_phía bé trời nắng xe đi trừ chỗ,{EXTERIOR#Negative};
dị_dị,{EXTERIOR#Negative};
nhan_bé tý,{EXTERIOR#Negative};
xe xforce ultimate xe ưu nhược_như nhược_điểm camera lùi nét nội_thất màu đen hơi tối bẩn nhanh_lộ 50 km đi kêu to rà phanh đi chậm liên_hệ hãng hãng báo thay đĩa phanh đợi phanh thay thay đợt đi_lại kêu ưu_điểm đẹp rộng_rãi bệ_vệ chất_liệu nội_thất_ok màn_hình to tính_năng an_toàn phanh điện_tử auto hold đèn tự_động gạt mưa tự_động cánh báo giảm_thiểu va_chạm cảm_biến áp_suất lốp xe thoải_mái âm loa lái nhẹ_nhàng quan_sát tiết_kiệm nhiên_liệu lái đường_cao_tốc 5 l 100 km lái hrv có_lẽ xforce rộng thoáng,{FEATURES#Positive};{INTERIOR#Positive};{PERFORMANCE#Positive};{COST#Positive};{EXTERIOR#Positive};
hộp at xpander ngon hẳn 6 at leo đèo ổn xforce_định hình_độ thị đường_cao_tốc mượt hệ an_toàn loa giải_trí cung đường xấu hơi_đuối dòng xe pajero mitsubishi,{PERFORMANCE#Negative};{FEATURES#Positive};
cvt ồn_bỏ mẹ hỏng hóc,{PERFORMANCE#Negative};
xe mã_đẹp chả ifact,{EXTERIOR#Positive};{PERFORMANCE#Negative};
đẹp ngáo_giá chê hrv ngáo giá ngáo chẳng vẹo nổi_trội,{COST#Negative};{EXTERIOR#Positive};
xe đẹp giá đắt thế_giới rơi vào_cuộc khủng_hoảng_kinh_tế hàng hóa dư_thừa ô_tô người_dân dự_thế phòng_thủ chú_trọng ăn_chữa bệnh học_tập chi_phí thiết_yếu cuộc_sống hàng gác mua_sắm tài_sản vô_tình xe_hơi ảnh_hưởng doanh_số,{COST#Negative};{EXTERIOR#Positive};
đắt nội_ngoại thất_đẹp phân_khúc lazang đẹp,{EXTERIOR#Positive};{INTERIOR#Positive};{COST#Negative};
cũ dct_ly hợp_kép hộp at phiên_bản song_song rõ_ràng hộp_số cải_lùi,{PERFORMANCE#Negative};
trường_hợp cvt thay thụt_lùi thay_vì giảm_giá seltos tăng_giá,{PERFORMANCE#Negative};
nghĩa_soán honda ngáo giá,{COST#Negative};
đẹp phân_khúc crossover cỡ b,{EXTERIOR#Positive};{INTERIOR#Positive};
nguyên_bản cũ phanh điện_tử nguyên giá có_lẽ chạy,{FEATURES#Negative};{COST#Negative};
kia thaco làm_khó dải sản_phẩm xe ngáo giá ế toàn hãng đua sâu cụ bảo mất_hút,{COST#Negative};
đi chạy_normal standard mode tiết_kiệm xăng eco mode đạp tốc_độ nhả ga thả trớn ít_hao xăng trễ ga đạp tốc_độ tốn nhiên_liệu,{PERFORMANCE#Positive};{COST#Positive};
đẹp giá hơi,{COST#Negative};{EXTERIOR#Positive};{INTERIOR#Positive};
củ đi gắn camera,{COST#Negative};{FEATURES#Negative};
xe hạng b giá hạng giá tucson facelift xăng,{COST#Negative};
kia làm_khó,{BRAND#Negative};
đẹp xe chả less ngon,{EXTERIOR#Positive};
củ tao cx5 ngon,{COST#Negative};
kia đổi logo xong ngáo_giá giá triệu hợp_lí giá sportage bán_chạy,{COST#Negative};{BRAND#Negative};
giá xong hứng_thú nội_dung tầm_giá tham_khảo dòng xe,{COST#Negative};
cx5,{COST#Negative};
xe hàn càng_ngày_càng ngáo giá,{COST#Negative};
xe khung gầm ấn_độ xe hạng b giá đắt cx5_hạng ế,{EXTERIOR#Negative};{COST#Negative};
đắt hao nhiên_liệu options ưu_điểm seltos,{COST#Negative};{FEATURES#Negative};
máy kia ăn_sao hón đà đẹp_trừ mâm chán_vãi chưởng xe hàn_giờ mâm chán xe nhật_đức bao kiểu mâm tí_xíu nhã_nhặn đẹp rối mua đợi creta hrv g đi mượt,{BRAND#Negative};
trải_nghiệm đời máy_yếu phản_hồi chậm chạy cao_tốc ồn lắm khung gầm,{PERFORMANCE#Negative};{EXTERIOR#Positive};
kia ngáo giá,{COST#Negative};{BRAND#Negative};
seltos 9 trăm,{COST#Negative};
kia dạo phê thuốc ngáo giá ớn,{COST#Negative};{BRAND#Negative};
hợp_lý seltos chấp_vá phiên bảng dct chứng_tỏ khách_hàng chả chấp_nhận xe ngáo giá xài cục máy sonet doanh_số top ế tàn_hình,{COST#Negative};
mấy xe trung_quốc tầm tiền thương_hiệu,{BRAND#Negative};{COST#Negative};
ngáo giá,{COST#Negative};
seltos luxury lăn bánh tỉnh 735 tr_giá hơi trải_nghiệm so_sánh ẻm xe hoàn_hảo mua xe chủ_yếu nhu_cầu thẩm_mỹ tạm_thời hài_lòng xe ok rộng thoải_mái mua màu trắng rõ_ràng xe hàn mẫu_mã đẹp khen xe đẹp kiểu_dáng hiện_đại trẻ_trung quê tưởng xe chổ hiện hài_lòng lăn tăn_xíu vể xăng cảm_giác hơi_hao chạy đi đường_phố hổn_hợp,{COST#Negative};{INTERIOR#Positive};{BRAND#Positive};{EXTERIOR#Positive};
đẹp phân_khúc,{EXTERIOR#Positive};
xe nhật 5 t 70 tr xe hàn 4 t 50 tr,{COST#Negative};
ngáo giá,{COST#Negative};
xe options lái lái đi mua xe giá tiền option mua xforce yaris cross xe trung_quốc xe đắt option lái nghèo_nàn ế,{PERFORMANCE#Negative};{COST#Negative};
mắc òm mua mua teritory cx5 ngon_lành hrv ngon,{COST#Negative};
7 l 100 km phố rõ_ràng tiết_kiệm hr v máy turbo_mã tầm,{COST#Negative};
xe hàn máy hạng b giá xe nhật_hạng xe mỹ 5 t ngáo ngáo,{COST#Negative};
giá hơi đắt 800 tr lựa_chọn,{COST#Negative};
chê seltos thoải_mái tiền nong mua đi,{COST#Neutral};
turbo ngáo_giá ngoại_hình,{COST#Negative};
chết ngáo giá đợt giá hợp_lí chỉnh_sửa xong bân hẳn xe cạnh_tranh đẹp ngon_lành ế,{COST#Negative};
kia seltos hot,{BRAND#Negative};
xe phân_khúc b lởm_dởm triệu ngáo_giá giá bảo territory đạp chân chán_đời mấy hàn,{COST#Negative};{BRAND#Negative};
mua con_số sàn mg,{COST#Negative};
at ngon khác_biệt xe_nhật mua,{BRAND#Negative};
